,date,twitter_user,views,website
0,2018-08-01,abudhabimedia,2704.1774592671436,admedia.ae
1,2018-08-02,abudhabimedia,2560.6959773665176,admedia.ae
2,2018-08-03,abudhabimedia,1566.6085906993712,admedia.ae
3,2018-08-04,abudhabimedia,3524.9322005939903,admedia.ae
4,2018-08-05,abudhabimedia,2633.569162639445,admedia.ae
5,2018-08-06,abudhabimedia,2585.497801010537,admedia.ae
6,2018-08-07,abudhabimedia,1744.6351458681497,admedia.ae
7,2018-08-08,abudhabimedia,2387.8292709828347,admedia.ae
8,2018-08-09,abudhabimedia,2200.0983101524926,admedia.ae
9,2018-08-10,abudhabimedia,890.0004953465942,admedia.ae
10,2018-08-11,abudhabimedia,1844.8130752919842,admedia.ae
11,2018-08-12,abudhabimedia,2396.2418451803424,admedia.ae
12,2018-08-13,abudhabimedia,2960.204900393752,admedia.ae
13,2018-08-14,abudhabimedia,2445.233456587376,admedia.ae
14,2018-08-15,abudhabimedia,1984.8818685568353,admedia.ae
15,2018-08-16,abudhabimedia,2428.5452230984297,admedia.ae
16,2018-08-17,abudhabimedia,1346.269820834769,admedia.ae
17,2018-08-18,abudhabimedia,1893.234294848943,admedia.ae
18,2018-08-19,abudhabimedia,1322.9659403535659,admedia.ae
19,2018-08-20,abudhabimedia,1058.724008657853,admedia.ae
20,2018-08-21,abudhabimedia,1132.6765197164325,admedia.ae
21,2018-08-22,abudhabimedia,1426.192395793118,admedia.ae
22,2018-08-23,abudhabimedia,1551.2533188844832,admedia.ae
23,2018-08-24,abudhabimedia,1107.4072526741281,admedia.ae
24,2018-08-25,abudhabimedia,1744.5124840113021,admedia.ae
25,2018-08-26,abudhabimedia,2829.561380896144,admedia.ae
26,2018-08-27,abudhabimedia,2589.6316381730603,admedia.ae
27,2018-08-28,abudhabimedia,3291.6254428895822,admedia.ae
28,2018-08-29,abudhabimedia,1754.8583186556084,admedia.ae
29,2018-08-30,abudhabimedia,1746.0997686036224,admedia.ae
30,2018-08-31,abudhabimedia,800.2413814494034,admedia.ae
31,2018-08-01,adax_arabia,827.2755131743481,adax.ae
32,2018-08-02,adax_arabia,836.7886844269406,adax.ae
33,2018-08-03,adax_arabia,699.1850429552646,adax.ae
34,2018-08-04,adax_arabia,304.7019917751232,adax.ae
35,2018-08-05,adax_arabia,353.2985808675295,adax.ae
36,2018-08-06,adax_arabia,267.4406818375604,adax.ae
37,2018-08-07,adax_arabia,392.4156883220178,adax.ae
38,2018-08-08,adax_arabia,302.6735675120474,adax.ae
39,2018-08-09,adax_arabia,400.7797822145289,adax.ae
40,2018-08-10,adax_arabia,304.76391302105714,adax.ae
41,2018-08-11,adax_arabia,214.61455852824696,adax.ae
42,2018-08-12,adax_arabia,272.54030125187484,adax.ae
43,2018-08-13,adax_arabia,339.68974035724057,adax.ae
44,2018-08-14,adax_arabia,88.07677531788059,adax.ae
45,2018-08-15,adax_arabia,106.61216112738802,adax.ae
46,2018-08-16,adax_arabia,1076.0252287814467,adax.ae
47,2018-08-17,adax_arabia,875.0877789262056,adax.ae
48,2018-08-18,adax_arabia,252.8616106772156,adax.ae
49,2018-08-19,adax_arabia,632.4631674478057,adax.ae
50,2018-08-20,adax_arabia,481.4895881637176,adax.ae
51,2018-08-21,adax_arabia,749.3268335842789,adax.ae
52,2018-08-22,adax_arabia,1335.1325529233065,adax.ae
53,2018-08-23,adax_arabia,715.9831162383537,adax.ae
