crunchbase_uuid,name,type,primary_role,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description
bafc34ac-90c8-ddbe-199c-dbe621add9a3,Meirc Training & Consulting,organization,company,https://www.crunchbase.com/organization/meirc-training-and-consulting?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,meirc.com,http://www.meirc.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/jo5uvpcdb2ye02yspgad",https://www.facebook.com/meirctraining/,http://twitter.com/Meirc,https://www.linkedin.com/company/meirc,:,Dubai,Dubai,AE,Meirc is an independent multinational firm with more than 60 years of experience in the fields of management and human resources.
9a45365f-ebcf-7adb-ef2d-cd338de8e8b6,Arabicollege,organization,company,https://www.crunchbase.com/organization/arabicollege?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,arabicollege.com,http://www.arabicollege.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397198505/460d7d1c9e5b2c99b3a3f05e7b9754d4.png",http://www.facebook.com/ArabiCollege/114709468548881,http://twitter.com/theArabiCollege,,:,Dubai,Dubai,AE,"Learn Arabic with ArabiCollege, the leading provider of online Arabic courses using the most advanced technology."
b7f12ca4-1040-889e-0549-0082871acebd,TradeKey.com,organization,company,https://www.crunchbase.com/organization/tradekey?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,tradekey.com,http://www.tradekey.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397199520/753373e44a1e5d1c756c2c79f74441a3.jpg",http://www.facebook.com/TradeKeyOfficial,http://twitter.com/tradekey,https://www.linkedin.com/company/tradekey,:,Riyadh,Ar Riyad,SA,TradeKey.com is an online Business-to-Business marketplace helping worldwide traders find new trade partners and business opportunities.
29db3383-4c70-1608-c21e-958f40eb1f30,ITP Publishing Group,organization,company,https://www.crunchbase.com/organization/itp-publishing-group?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,itp.com,http://www.itp.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397205504/dead0c239e78e91a37964cc3e14cbfae.jpg",,http://twitter.com/ITP_Publishing,http://www.linkedin.com/company/itp,:,Dubai,Dubai,AE,"ITP Publishing Group is a publishing company, publishing more than 80 weekly and monthly magazines."
21cf4626-0b66-4fb4-caff-515eac7425cc,ArabianBusiness.com,organization,company,https://www.crunchbase.com/organization/arabianbusiness-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,arabianbusiness.com,http://www.arabianbusiness.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397205564/ec70bc3f3a4371e2be7e1e8314aca47b.jpg",https://www.facebook.com/ArabianBusiness,http://twitter.com/arabianbusiness,http://www.linkedin.com/company/2889716,:,Dubai,Dubai,AE,ArabianBusiness.com is the Middle Eastâ€™s premier business news portal.
6d8e5b60-b649-0fbf-837b-6cd4b803b035,ITP.net,organization,company,https://www.crunchbase.com/organization/itp-net?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,itp.net,http://www.itp.net,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397205565/791175d2560b2ef632901335307704cb.jpg",,http://twitter.com/ITP_English,,:,Dubai,Dubai,AE,"ITP.net is a technology news site, touching on national, regional and global events relevant to CIOs and tech-savvy consumers."
0adc52b9-d5d3-50cf-0e36-a5465d4ac1a0,REIDIN.com,organization,company,https://www.crunchbase.com/organization/reidin-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,reidin.com,http://www.reidin.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397205735/27b686711d4373d9dc6a5bda62e57df1.gif",https://www.facebook.com/reidincom,https://www.twitter.com/reidincom,https://www.linkedin.com/company/reidin.com---emerging-markets-real-estate-information,:,Dubai,Dubai,AE,Emerging Markets Real Estate Information
32d610ee-569a-f3b0-002c-936b4e313d1c,FalConSearch,organization,company,https://www.crunchbase.com/organization/falconsearch?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,falconsearch.com,http://www.falconsearch.com,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",https://www.facebook.com/falconsearch,,https://www.linkedin.com/company/falcon-search-llc,:,Dubai,Dubai,AE,"Falcon Search.com offers web maintenance and hosting services, SEO, e-commerce solutions, and online marketing and advertising services."
9c443ec8-21c1-2009-dd24-88517962809e,Bayt.com,organization,company,https://www.crunchbase.com/organization/bayt-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bayt.com,http://www.bayt.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397206340/832d35723cb49a49c9ef6ce9f8c3d009.png",http://www.facebook.com/Baytcom,http://twitter.com/Baytcom,https://www.linkedin.com/company/bayt.com,:,Dubai,Dubai,AE,Bayt.com is an online recruitment website for the Gulf and Middle East regions.
dc9e11ee-75ef-d1a8-e3e6-cd87df9693b5,Gulftalent.com,organization,company,https://www.crunchbase.com/organization/gulftalent-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,gulftalent.com,http://www.gulftalent.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397206340/1a580b5a29fc877792061d77e227325d.gif",http://www.facebook.com/Gulf-Talent/534970529851629,http://twitter.com/GulfTalentJobs,,:,Dubai,Dubai,AE,Gulftalent.com is an online recruitment platform connecting individuals with suitable local and expatriate job opportunities.
